DrugBankID,DiseaseID
DB00783,D053713
DB00783,D017086
DB00783,D001661
DB00783,D058249
DB00783,D002545
DB00783,D001943
DB00783,C537017
DB00783,D000072716
DB00783,D002280
DB00783,D018269
DB00783,D006528
DB00783,D002278
DB00783,D002289
DB00783,D000077216
DB00783,D002292
DB00783,D002294
DB00783,D002295
DB00783,D002296
DB00783,D006332
DB00783,D009202
DB00783,D066126
DB00783,D002318
DB00783,D002357
DB00783,D002386
DB00783,D002446
DB00783,D016543
DB00783,D002561
DB00783,D018281
DB00783,D002779
DB00783,D055113
DB00783,D002972
DB00783,D019970
DB00783,D003072
DB00783,D060825
DB00783,D003110
DB00783,D015179
DB00783,D003323
DB00783,D003324
DB00783,D003327
DB00783,D000086382
DB00783,D003424
DB00783,D003865
DB00783,D003872
DB00783,D003876
DB00783,D002658
DB00783,D016640
DB00783,D003920
DB00783,D003922
DB00783,D003924
DB00783,D058065
DB00783,D003928
DB00783,D003930
DB00783,D004314
DB00783,D050171
DB00783,D020964
DB00783,D016889
DB00783,D004715
DB00783,D004719
DB00783,D020345
DB00783,D004769
DB00783,D057765
DB00783,D004806
DB00783,D004827
DB00783,D004833
DB00783,D004938
DB00783,D000077277
DB00783,D000075222
DB00783,D010505
DB00783,D065627
DB00783,D063647
DB00783,D005317
DB00783,D005355
DB00783,D005706
DB00783,D005757
DB00783,D005909
DB00783,D005910
DB00783,D005922
DB00783,D015433
DB00783,D014890
DB00783,D006223
DB00783,D006323
DB00783,D006333
DB00783,D006402
DB00783,D006457
DB00783,D006509
DB00783,D006526
DB00783,D006561
DB00783,D006566
DB00783,D006689
DB00783,D006949
DB00783,D006967
DB00783,D006973
DB00783,D006976
DB00783,D017379
DB00783,D000860
DB00783,D054990
DB00783,D007246
DB00783,D007248
DB00783,D007249
DB00783,D015212
DB00783,D058922
DB00783,D007333
DB00783,D055959
DB00783,C535531
DB00783,D007511
DB00783,D000083242
DB00783,D007674
DB00783,D007822
DB00783,D007938
DB00783,D015451
DB00783,D015459
DB00783,D015464
DB00783,D015470
DB00783,D020961
DB00783,D008103
DB00783,D008107
DB00783,D008113
DB00783,D008171
DB00783,D055370
DB00783,D008175
DB00783,D008180
DB00783,D008223
DB00783,D016393
DB00783,D016403
DB00783,D008228
DB00783,D008268
DB00783,D008269
DB00783,D008288
DB00783,D034701
DB00783,D008527
DB00783,D008545
DB00783,D001523
DB00783,D008659
DB00783,D024821
DB00783,D009062
DB00783,D009080
DB00783,D052016
DB00783,D009101
DB00783,D009103
DB00783,D009133
DB00783,D020388
DB00783,D009157
DB00783,D009190
DB00783,D009203
DB00783,D015428
DB00783,D018979
DB00783,D009298
DB00783,D000077274
DB00783,D056770
DB00783,D009442
DB00783,D009447
DB00783,D019636
DB00783,D009456
DB00783,D065626
DB00783,D009765
DB00783,D009767
DB00783,D010001
